Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
46.0,32284.62,2898.385,6.0,7.0,17.0,6.0,13.0,12.0,2.2200000000000006,10.0,2.0,1283.37,27.930123710625228,84.0,3,103.03756035536594,359.7718322852988,1.0,117.02910735933534,Standard
31.0,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,51.0,18.0,9.95,7.0,1.0,2430.21,36.6412035787929,219.0,2,49.57206224445275,55.29821298839304,4.0,306.3658914338209,Poor
31.0,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,51.0,19.0,9.95,7.0,1.0,2430.21,28.870386917234462,221.0,3,49.57206224445275,61.42802987477842,4.0,300.23607454743546,Standard
32.0,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,53.0,19.0,9.95,8.0,1.0,2430.21,23.70919322410504,225.0,3,49.57206224445275,118.1855506983746,2.0,263.4785537238393,Standard
41.0,19514.88,1828.24,7.0,5.0,17.0,0.0,30.0,12.0,4.17,2.0,2.0,881.4,33.66946005394869,233.0,1,0.0,43.315824459505386,5.0,389.5081755404946,Standard
41.0,19514.88,1828.24,7.0,5.0,17.0,0.0,30.0,15.0,4.17,2.0,2.0,881.4,27.182482771287628,237.0,1,0.0,184.63115997411617,2.0,278.1928400258838,Poor
41.0,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,48.0,18.0,7.97,6.0,1.0,1672.43,32.38559762083814,122.0,2,37.58807283812568,92.3619500192958,1.0,267.5084354759118,Poor
41.0,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,48.0,23.0,7.97,6.0,1.0,1672.43,23.731347914755407,123.0,3,37.58807283812568,91.88397193610828,1.0,267.9864135590994,Poor
31.0,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25.0,16.0,15.79,7.0,2.0,569.8,23.17983273627976,149.0,3,26.060347529205966,32.02630794260436,1.0,310.117052861523,Standard
32.0,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25.0,19.0,15.79,7.0,2.0,569.8,36.52748004014412,152.0,3,26.060347529205966,48.00806665619237,1.0,294.135294147935,Poor
32.0,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25.0,19.0,15.79,11.0,2.0,569.8,31.978873515820705,154.0,3,26.060347529205966,66.37358000122424,1.0,275.76978080290314,Poor
34.0,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,48.0,21.0,10.27,17.0,1.0,3532.83,37.28428974024728,150.0,3,200.43261339470683,205.25015227427863,1.0,356.4099009976813,Poor
30.0,34290.12,2697.51,9.0,8.0,25.0,7.0,52.0,10.0,17.96,9.0,2.0,2686.81,39.28029558815228,164.0,2,185.1119825795006,248.06995733765265,3.0,106.56906008284685,Poor
32.0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,15.0,8.0,12.97,4.0,2.0,1233.1,28.361166154311103,232.0,3,30.57608482316153,50.50914885496671,6.0,521.1334329885384,Standard
32.0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,10.0,8.0,8.97,8.0,2.0,1233.1,26.44753733068293,234.0,3,30.57608482316153,178.09535842702488,3.0,423.54722341648034,Standard
32.0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,8.0,8.0,4.9700000000000015,8.0,2.0,1233.1,39.069843987300096,235.0,3,30.57608482316153,41.33398006254758,6.0,530.3086017809576,Standard
32.0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,11.0,8.0,8.97,8.0,2.0,1233.1,34.718643637980016,236.0,3,30.57608482316153,108.62344689023185,3.0,493.0191349532733,Standard
40.0,28572.39,2210.0325,6.0,3.0,15.0,3.0,28.0,10.0,4.89,0.0,2.0,400.07,29.323516897407607,365.0,3,69.60292048199007,53.484203285005805,5.0,347.9161262330041,Standard
55.0,20186.02,1684.168333333333,1.0,5.0,1.0,2.0,4.0,3.0,6.83,4.0,3.0,413.32,31.861736271923107,221.0,1,29.534583720496048,26.290476621438277,5.0,362.591772991399,Good
43.0,18627.64,1387.303333333333,7.0,7.0,19.0,6.0,31.0,22.0,5.07,7.0,1.0,1793.54,35.91940492740646,228.0,3,65.13948777561222,75.79138890495672,2.0,277.7994566527644,Standard
43.0,18627.64,1387.303333333333,7.0,7.0,19.0,6.0,31.0,21.0,6.07,7.0,1.0,1793.54,35.706437003014834,230.0,3,65.13948777561222,109.59203229477612,2.0,243.998813262945,Poor
44.0,18627.64,1387.303333333333,7.0,7.0,19.0,6.0,31.0,18.0,5.07,7.0,1.0,1793.54,38.78895428776155,232.0,3,65.13948777561222,98.80418973887456,1.0,264.7866558188465,Poor
21.0,12986.745,959.22875,4.0,3.0,10.0,2.0,29.0,17.0,11.8,7.0,2.0,1489.49,24.61461029221816,105.0,3,16.719300227776053,44.193003447546566,2.0,315.0105713246774,Standard
21.0,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,20.0,11.8,7.0,2.0,1489.49,26.15307797968565,106.0,3,16.719300227776053,47.266680510662326,2.0,311.93689426156163,Standard
21.0,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,15.0,11.8,7.0,2.0,1489.49,31.78179827243648,107.0,3,16.719300227776053,76.3552778113165,3.0,272.84829696090753,Standard
22.0,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,18.0,16.8,7.0,2.0,1489.49,37.661505448797726,108.0,3,16.719300227776053,72.34651350481404,1.0,296.85706126740985,Standard
22.0,12986.745,959.22875,4.0,3.0,10.0,2.0,28.0,17.0,11.8,7.0,2.0,1489.49,32.25544266260322,111.0,3,16.719300227776053,91.82948180540612,1.0,277.37409296681784,Standard
43.0,58317.0,4664.75,8.0,5.0,9.0,6.0,18.0,20.0,16.58,6.0,2.0,98.97,27.806917787306933,158.0,3,149.89719942100822,83.30040818642512,5.0,483.2773923925665,Standard
44.0,58317.0,4664.75,8.0,5.0,9.0,6.0,18.0,20.0,21.58,10.0,2.0,98.97,28.260146747054986,163.0,3,149.89719942100822,380.5857010101063,2.0,215.9920995688854,Standard
36.0,42171.98,3764.331666666667,2.0,7.0,10.0,3.0,4.0,8.0,2.58,4.0,3.0,556.91,26.986114755563676,258.0,1,102.7629131170904,136.98300144734569,1.0,426.6872521022305,Standard
36.0,71681.4,5799.45,3.0,6.0,15.0,1.0,8.0,6.0,10.44,0.0,2.0,1293.02,29.682953869716,308.0,3,53.92351397165268,137.33114262036042,5.0,638.6903434079869,Standard
36.0,71681.4,5799.45,3.0,6.0,15.0,1.0,8.0,10.0,10.44,0.0,2.0,1293.02,29.371396475591716,309.0,3,53.92351397165268,253.31972193677208,1.0,562.7017640915751,Standard
36.0,71681.4,5799.45,3.0,6.0,15.0,1.0,4.0,8.0,10.44,0.0,2.0,1293.02,33.041498963387184,310.0,3,53.92351397165268,120.89014204533736,6.0,645.13134398301,Good
36.0,71681.4,5799.45,3.0,6.0,15.0,1.0,5.0,6.0,10.44,0.0,2.0,1293.02,34.983562067394985,312.0,3,53.92351397165268,414.896549383656,2.0,391.1249366446912,Good
36.0,71681.4,5799.45,3.0,6.0,15.0,1.0,8.0,8.0,10.44,0.0,2.0,1293.02,38.23451377496931,314.0,2,53.92351397165268,295.8118959942132,2.0,510.20959003413424,Good
16.0,29469.98,2227.8316666666665,7.0,7.0,24.0,5.0,53.0,21.0,26.94,11.0,1.0,3421.66,33.298654305420385,161.0,3,69.68545857227979,27.250794632521444,5.0,375.84691346186537,Poor
16.0,29469.98,2227.8316666666665,7.0,7.0,24.0,5.0,53.0,21.0,26.94,11.0,1.0,3421.66,38.177310964520885,162.0,3,69.68545857227979,71.26438577406131,2.0,361.8333223203256,Poor
16.0,29469.98,2227.8316666666665,7.0,7.0,24.0,5.0,53.0,21.0,26.94,11.0,1.0,3421.66,32.96295024281038,165.0,3,69.68545857227979,24.066131449353737,5.0,379.0315766450331,Poor
20.0,72559.36,6284.613333333334,4.0,5.0,17.0,4.0,14.0,21.0,2.74,1.0,2.0,1173.7,32.833577838001574,339.0,1,215.83917063897167,117.31025890075192,6.0,535.3119037936099,Standard
20.0,72559.36,6284.613333333334,4.0,5.0,17.0,4.0,14.0,19.0,2.74,1.0,2.0,1173.7,33.16506303288241,341.0,1,215.83917063897167,82.49686626015253,5.0,580.1252964342092,Standard
20.0,72559.36,6284.613333333334,4.0,5.0,17.0,4.0,15.0,19.0,-1.2599999999999998,5.0,2.0,1173.7,38.17098242520041,342.0,1,215.83917063897167,105.7178730777444,5.0,556.9042896166172,Standard
36.0,15566.02,1423.168333333333,8.0,5.0,32.0,4.0,17.0,20.0,9.24,7.0,2.0,1693.95,24.251028181031927,95.0,3,43.07051960231588,169.62098009559793,1.0,219.6253336354196,Poor
19.0,66567.32,5800.276666666668,5.0,7.0,5.0,2.0,7.0,15.0,5.67,0.0,2.0,233.79,28.105704471180974,296.0,1,100.18936089086122,66.77787001883797,5.0,663.0604357569674,Standard
19.0,66567.32,5800.276666666668,5.0,7.0,5.0,2.0,7.0,15.0,5.67,0.0,2.0,233.79,26.50760976914888,297.0,1,100.18936089086122,66.6883582507525,5.0,663.149947525053,Standard
32.0,12909.895,853.8245833333333,5.0,5.0,13.0,0.0,22.0,14.0,7.58,1.0,2.0,602.5,31.35686817783082,205.0,1,0.0,20.446680591816467,3.0,334.93577774151686,Standard
32.0,12909.895,853.8245833333333,5.0,5.0,13.0,0.0,22.0,14.0,7.58,1.0,2.0,602.5,38.3394875583296,206.0,1,0.0,67.1617199501041,1.0,308.2207383832292,Standard
33.0,12909.895,853.8245833333333,5.0,5.0,13.0,0.0,20.0,14.0,7.58,1.0,2.0,602.5,32.21809912303338,207.0,1,0.0,114.1999514806221,1.0,261.18250685271124,Standard
33.0,30788.44,2623.703333333333,7.0,9.0,31.0,6.0,49.0,20.0,21.73,9.0,1.0,3470.08,27.68144422599345,17.0,3,114.533020898938,97.3135883386068,1.0,340.52372409578857,Standard
33.0,30788.44,2623.703333333333,7.0,9.0,31.0,6.0,45.0,21.0,21.73,9.0,1.0,3470.08,35.457081125135346,19.0,3,114.533020898938,72.98412458705273,4.0,334.85318784734267,Standard
42.0,20574.47,1740.539166666667,6.0,3.0,14.0,4.0,6.0,10.0,6.74,11.0,2.0,749.95,37.55229512400509,136.0,3,49.348666321498655,192.3720689532156,1.0,222.33318139195245,Standard
42.0,20574.47,1740.539166666667,6.0,3.0,14.0,4.0,1.0,7.0,13.74,11.0,2.0,749.95,38.33877418250452,137.0,3,49.348666321498655,119.2737917167095,3.0,275.43145862845853,Standard
15.0,55829.79,4369.4825,10.0,10.0,18.0,8.0,30.0,19.0,27.99,11.0,1.0,3422.49,27.978801736074782,127.0,3,314.90178526768176,132.0062494947303,4.0,250.040215237588,Standard
27.0,14165.23,1057.4358333333332,7.0,10.0,33.0,9.0,59.0,24.0,8.82,11.0,1.0,2797.17,31.87826486412917,170.0,3,58.86844083860843,95.67488196324194,1.0,241.20026053148297,Standard
27.0,14165.23,1057.4358333333332,7.0,10.0,33.0,9.0,59.0,24.0,8.82,11.0,1.0,2797.17,27.64251073394816,171.0,3,58.86844083860843,105.75675459442276,2.0,221.1183879003021,Poor
27.0,14165.23,1057.4358333333332,7.0,10.0,33.0,9.0,59.0,24.0,8.82,11.0,1.0,2797.17,32.4729892967946,173.0,3,58.86844083860843,45.62644681511021,2.0,281.2486956796147,Poor
38.0,95956.5,8279.375,8.0,4.0,11.0,2.0,23.0,10.0,11.94,2.0,2.0,1079.73,35.74006714971697,380.0,2,95.5216287821567,265.3115233534598,5.0,717.1043478643835,Standard
25.0,49967.01,4091.9175,7.0,6.0,31.0,6.0,27.0,11.0,19.87,11.0,2.0,2253.95,28.875737694025297,202.0,3,156.00331166279182,66.93199534699997,6.0,426.2564429902082,Poor
26.0,49967.01,4091.9175,7.0,6.0,31.0,6.0,27.0,11.0,19.87,11.0,2.0,2253.95,38.57921380799338,204.0,3,156.00331166279182,80.27846002596156,5.0,422.90997831124656,Poor
26.0,49967.01,4091.9175,7.0,6.0,31.0,6.0,27.0,11.0,19.87,11.0,2.0,2253.95,22.84117831011114,205.0,3,156.00331166279182,373.1685163748753,2.0,160.01992196233283,Poor
14.0,39887.22,3224.935,9.0,9.0,16.0,5.0,57.0,21.0,17.25,10.0,1.0,3119.6,30.18805936357039,149.0,3,133.47084524343262,198.9967507987873,2.0,270.0259039577801,Poor
14.0,39887.22,3224.935,9.0,9.0,16.0,5.0,54.0,19.0,17.25,14.0,1.0,3119.6,36.97060762201679,153.0,3,133.47084524343262,96.09548178258156,5.0,342.9271729739859,Poor
14.0,39887.22,3224.935,9.0,9.0,16.0,5.0,57.0,19.0,17.25,14.0,1.0,3119.6,24.14813227289234,155.0,3,133.47084524343262,111.66780745430752,4.0,337.3548473022599,Poor
36.0,17251.38,1654.615,6.0,3.0,7.0,7.0,8.0,15.0,15.06,6.0,2.0,2431.64,37.2259443913206,137.0,2,57.35116518894053,26.598673984804908,6.0,321.51166082625457,Standard
37.0,17251.38,1654.615,6.0,3.0,7.0,7.0,5.0,12.0,15.06,6.0,2.0,2431.64,27.59559906416533,138.0,3,57.35116518894053,132.4439010247437,3.0,245.66643378631576,Standard
37.0,17251.38,1654.615,6.0,3.0,7.0,7.0,10.0,15.0,15.06,6.0,2.0,2431.64,28.12269301564605,139.0,3,57.35116518894053,169.3026601007154,1.0,228.8076747103441,Standard
37.0,17251.38,1654.615,6.0,3.0,7.0,7.0,8.0,15.0,15.06,10.0,2.0,2431.64,33.914865389507106,140.0,3,57.35116518894053,71.91051580059042,4.0,296.19981901046907,Standard
37.0,17251.38,1654.615,6.0,3.0,7.0,7.0,5.0,15.0,15.06,10.0,2.0,2431.64,32.70581750680671,141.0,3,57.35116518894053,54.07668313620942,2.0,334.03365167485015,Standard
22.0,36822.29,3132.524166666666,8.0,7.0,6.0,4.0,14.0,19.0,5.79,4.0,2.0,125.25,23.33674450597847,297.0,1,95.8007129241996,259.7908044889353,3.0,227.6608992535318,Standard
23.0,36822.29,3132.524166666666,8.0,7.0,6.0,4.0,14.0,19.0,5.79,5.0,2.0,125.25,35.08033049259638,299.0,1,95.8007129241996,73.93253933987151,6.0,383.5191644025956,Good
23.0,36822.29,3132.524166666666,8.0,7.0,6.0,4.0,16.0,18.0,5.79,5.0,2.0,125.25,39.649801731477616,301.0,1,95.8007129241996,38.11405465744953,5.0,429.3376490850176,Good
23.0,36822.29,3132.524166666666,8.0,7.0,6.0,4.0,15.0,19.0,5.79,5.0,2.0,125.25,39.05658586366771,303.0,1,95.8007129241996,251.98341141434076,2.0,245.4682923281264,Good
16.0,78988.48,6449.373333333332,9.0,5.0,29.0,7.0,27.0,17.0,15.27,9.0,1.0,1746.9,34.70500518081173,121.0,3,291.78276034215287,88.07126673833417,5.0,515.0833062528462,Poor
16.0,78988.48,6449.373333333332,9.0,5.0,29.0,7.0,27.0,17.0,15.27,9.0,1.0,1746.9,28.389671628456675,123.0,3,291.78276034215287,295.6050490669137,3.0,327.54952392426674,Poor
16.0,78988.48,6449.373333333332,9.0,5.0,29.0,7.0,27.0,15.0,15.27,9.0,1.0,1746.9,32.49554829929235,126.0,3,291.78276034215287,399.2485836021157,2.0,233.9059893890648,Poor
22.0,19981.6,1459.1333333333332,10.0,8.0,20.0,7.0,54.0,21.0,23.58,12.0,1.0,4834.59,30.813295101757607,129.0,3,78.41827155188288,171.6398273191018,1.0,185.85523446234865,Poor
19.0,73737.36,5936.78,7.0,3.0,18.0,4.0,20.0,20.0,14.92,2.0,2.0,1219.39,35.7261306876056,374.0,3,214.8134632011097,113.16240501510686,5.0,515.7021317837833,Standard
19.0,73737.36,5936.78,7.0,3.0,18.0,4.0,20.0,17.0,13.92,2.0,2.0,1219.39,34.81301083926292,376.0,3,214.8134632011097,153.87446150766016,5.0,474.9900752912301,Standard
19.0,73737.36,5936.78,7.0,3.0,18.0,4.0,15.0,20.0,13.92,2.0,2.0,1219.39,33.015928099564874,377.0,3,214.8134632011097,424.0584111572644,1.0,244.806125641626,Standard
34.0,88362.46,7255.538333333334,5.0,2.0,8.0,3.0,15.0,8.0,11.01,4.0,3.0,325.93,31.528676901527923,371.0,1,211.1843903373817,283.38123281541544,5.0,480.9882101805362,Good
34.0,88362.46,7255.538333333334,5.0,2.0,8.0,3.0,15.0,6.0,11.01,6.0,3.0,325.93,38.41963347541724,373.0,1,211.1843903373817,214.61010981498777,2.0,579.759333180964,Good
26.0,60162.1,5197.508333333333,5.0,7.0,5.0,7.0,18.0,10.0,14.79,7.0,2.0,1037.45,36.35924551524061,158.0,3,220.2137267039484,80.01264638361248,5.0,469.5244602457725,Standard
26.0,60162.1,5197.508333333333,5.0,7.0,5.0,7.0,18.0,10.0,14.79,7.0,2.0,1037.45,33.183942270673484,159.0,3,220.2137267039484,153.44754019420438,5.0,396.0895664351806,Standard
18.0,75273.24,6424.022011446845,8.0,6.0,32.0,5.0,50.0,10.0,17.8,8.0,2.0,2497.34,33.04396325805384,68.0,3,351.36704467467814,73.1795426964801,5.0,609.4784011819987,Poor
18.0,54820.89,4295.4075,8.0,7.0,28.0,6.0,41.0,17.0,18.42,11.0,1.0,4795.13,35.959693338729586,41.0,2,169.48198431622052,177.13166897101985,5.0,332.92709671275964,Standard
18.0,54820.89,4295.4075,8.0,7.0,28.0,6.0,41.0,17.0,18.42,11.0,1.0,4795.13,28.20185654687037,42.0,3,169.48198431622052,118.8780758552012,5.0,391.1806898285784,Standard
30.0,30390.44,2721.5366666666664,5.0,6.0,5.0,4.0,19.0,17.0,8.36,4.0,2.0,580.31,34.533573446234776,294.0,1,64.84803820501804,60.91459665428536,5.0,396.3910318073632,Standard
42.0,45207.54,3507.295,8.0,8.0,24.0,6.0,24.0,22.0,9.78,9.0,1.0,2497.48,33.888564258817304,197.0,3,148.91327341500903,375.7330661562452,1.0,116.08316042874576,Poor
42.0,45207.54,3507.295,8.0,8.0,24.0,6.0,21.0,20.0,9.78,9.0,1.0,2497.48,29.575344807598235,199.0,3,148.91327341500903,131.0961680113018,5.0,320.7200585736892,Poor
43.0,45207.54,3507.295,8.0,8.0,24.0,6.0,25.0,20.0,9.78,9.0,1.0,2497.48,28.943039154220468,200.0,3,148.91327341500903,119.08709838739055,2.0,362.72912819760046,Poor
43.0,45207.54,3507.295,8.0,8.0,24.0,6.0,24.0,23.0,9.78,9.0,1.0,2497.48,22.5052010533922,201.0,3,148.91327341500903,55.563679348528325,5.0,396.25254723646265,Poor
39.0,30346.35,2651.8625,5.0,4.0,14.0,7.0,29.0,9.0,18.8,5.0,2.0,523.56,30.28018465928141,101.0,3,96.72128021256924,332.4861615608296,1.0,125.97880822660112,Standard
47.0,18681.465,1584.78875,2.0,3.0,9.0,2.0,6.0,8.0,3.9,3.0,3.0,327.88,30.1279341810923,374.0,1,24.8214249786604,131.10743136537062,3.0,272.550018655969,Good
47.0,18681.465,1584.78875,2.0,3.0,9.0,2.0,6.0,8.0,3.9,3.0,3.0,327.88,37.455203153401975,375.0,1,24.8214249786604,32.94987664874939,4.0,360.70757337259016,Good
35.0,72330.98,6300.581666666666,0.0,3.0,11.0,1.0,2.0,6.0,4.62,1.0,3.0,596.78,32.36779297247521,393.0,1,31.37979415843871,171.74353317565652,5.0,676.9348393325715,Good
35.0,72330.98,6300.581666666666,0.0,3.0,11.0,1.0,1.0,6.0,4.62,1.0,3.0,596.78,24.83928334598337,399.0,1,31.37979415843871,301.22251829285426,3.0,567.4558542153737,Good
19.0,34106.78,2767.231666666666,8.0,5.0,17.0,0.0,8.0,10.0,10.06,0.0,2.0,996.54,40.79135175718472,386.0,3,0.0,216.36543589675853,3.0,330.35773076990813,Standard
34.0,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,11.0,20.0,5.62,0.0,2.0,1093.87,25.894834158418327,208.0,1,10.535555607461252,120.97121961577176,2.0,269.9710581101004,Standard
34.0,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,10.0,18.0,12.62,0.0,2.0,1093.87,28.63344077228041,209.0,2,10.535555607461252,51.90518470263,1.0,349.0370930232421,Poor
34.0,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,10.0,21.0,5.62,2.0,2.0,1093.87,25.359340485549847,212.0,1,10.535555607461252,50.59241299418775,5.0,310.3498647316844,Standard
34.0,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,5.0,20.0,5.62,2.0,2.0,1093.87,35.03187221946185,213.0,1,10.535555607461252,99.294457791796,1.0,301.6478199340761,Standard
21.0,44719.17,3969.5975,6.0,6.0,29.0,7.0,39.0,20.0,29.21,11.0,1.0,3818.57,30.86937293853877,156.0,2,248.599885855438,167.65605301285854,4.0,240.7038111317035,Poor
21.0,44719.17,3969.5975,6.0,6.0,29.0,7.0,47.0,20.0,23.21,11.0,1.0,3818.57,30.7376843187414,158.0,3,248.599885855438,316.1728449334878,3.0,102.1870192110742,Poor
